_id,_deleted,quote_id,user,email_address,billing_account,order_time,order_time_et,last_history_status,last_history_time,due_date,due_date_et,original_due_date,ship_date,min_cancelled_et,quote_source,is_manually_quoted,is_manually_quoted_type,coupon,selected_price_tier,order_total_price_bin,order_total_price_bin_sales,order_total_quantity_bin,customer_flag,customer_flag_aggregated,quoter_customer_flag,quote_rank_customer,quote_rank_account,order_rank_customer,order_rank_account,is_quote_reorder,quote_reorder_count,days_since_last_order,months_since_last_order,contains_fab5_process,contains_sheet_cutting_process,is_fully_outsourced,is_fully_shipped,is_unproven,order_ship_status,asana_late_shipment_category,has_new_processes,has_rma_job,payment_type,subtotal,total,total_etl,bookings,bookings_with_shipping,cancelled_part_bookings,line_items_discount_total,line_items_shipping_total,line_items_tax,lead_time_days,part_count,total_order_quantity,total_quantity_unproven,days_from_quote_to_order,shipping_method,shipping_address_country,shipping_address_country_code,shipping_address_state,shipping_address_city
ORD00000010,False,QT000000081,USR0000025,user25@example.com,ACC000169,2024-07-06,,completed,,2024-07-16,,,,,instant_quote,False,,,standard,$1k-$5k,,1-10,returning,returning,,1,1,1,1,False,0,161,11,False,False,False,True,False,Late,,False,False,net30,763.88,848.76,848.76,848.76,891.2,0,42.44,25.46,67.9,17,11,15,0,10,standard,US,US,CA,San Francisco
ORD00000011,False,QT000000088,USR0000027,user27@example.com,ACC002201,2025-02-01,,completed,,2025-02-19,,,,,instant_quote,False,,,standard,$1k-$5k,,1-10,returning,returning,,1,1,1,1,False,0,121,8,False,False,False,True,False,Late,,False,False,credit_card,801.31,890.35,890.35,890.35,934.86,0,44.52,26.71,71.23,18,11,30,0,12,standard,UK,UK,CA,San Francisco
ORD00000012,False,QT000000100,USR0000030,user30@example.com,ACC001156,2023-03-29,,completed,,2023-04-14,,,,,instant_quote,False,,,standard,$1k-$5k,,1-10,returning,returning,,1,1,1,1,False,0,141,10,False,False,False,True,False,On Time,,False,False,po,3636.65,4040.72,4040.72,4040.72,4242.76,0,202.04,121.22,323.26,25,11,7,0,8,standard,US,US,CA,San Francisco
ORD00000013,False,QT000000102,USR0000032,user32@example.com,ACC000577,2023-06-16,,completed,,2023-06-21,,,,,instant_quote,False,,,standard,$1k-$5k,,1-10,returning,returning,,1,1,1,1,False,0,19,0,True,False,False,False,False,On Time,,False,False,credit_card,338.26,375.85,375.85,375.85,394.64,0,18.79,11.28,30.07,9,4,17,0,7,standard,UK,UK,CA,San Francisco
ORD00000014,False,QT000000111,USR0000035,user35@example.com,ACC002503,2023-03-15,,completed,,2023-03-28,,,,,instant_quote,False,,,standard,$1k-$5k,,1-10,returning,returning,,1,1,1,1,True,0,6,4,False,True,True,False,False,On Time,,False,False,net30,24917.45,27686.05,27686.05,27686.05,29070.35,0,1384.3,830.58,2214.88,7,3,23,0,10,standard,US,US,CA,San Francisco
ORD00000015,False,QT000000114,USR0000035,user35@example.com,ACC002503,2024-12-28,,completed,,2025-01-11,,,,,instant_quote,False,,,standard,$1k-$5k,,1-10,returning,returning,,1,1,1,1,False,0,85,11,False,False,False,False,False,On Time,,False,False,credit_card,6217.1,6907.89,6907.89,6907.89,7253.28,0,345.39,207.24,552.63,15,1,39,0,10,standard,US,US,CA,San Francisco
ORD00000016,False,QT000000116,USR0000036,user36@example.com,ACC001468,2023-11-25,,completed,,2023-12-13,,,,,instant_quote,False,,,standard,$1k-$5k,,1-10,returning,returning,,1,1,1,1,False,0,20,2,True,False,False,True,False,Early,,False,False,credit_card,17644.75,19605.28,19605.28,19605.28,20585.54,0,980.26,588.16,1568.42,13,8,12,0,4,standard,US,US,CA,San Francisco
ORD00000017,False,QT000000124,USR0000037,user37@example.com,ACC000116,2024-10-19,,completed,,2024-11-01,,,,,instant_quote,False,,,standard,$1k-$5k,,1-10,returning,returning,,1,1,1,1,False,0,158,6,False,False,False,False,False,Late,,False,False,credit_card,17110.13,19011.25,19011.25,19011.25,19961.82,0,950.56,570.34,1520.9,13,11,26,0,4,standard,UK,UK,CA,San Francisco
ORD00000018,False,QT000000126,USR0000037,user37@example.com,ACC000116,2024-02-25,,completed,,2024-03-04,,,,,instant_quote,False,,,standard,$1k-$5k,,1-10,returning,returning,,1,1,1,1,False,0,46,3,False,True,False,False,False,On Time,,False,False,credit_card,12975.19,14416.87,14416.87,14416.87,15137.72,0,720.84,432.51,1153.35,16,11,15,0,12,standard,UK,UK,CA,San Francisco
ORD00000019,False,QT000000129,USR0000040,user40@example.com,ACC002545,2023-05-26,,completed,,2023-06-09,,,,,instant_quote,False,,,standard,$1k-$5k,,1-10,returning,returning,,1,1,1,1,False,0,124,0,True,False,False,False,False,Early,,False,False,net30,1455.63,1617.37,1617.37,1617.37,1698.24,0,80.87,48.52,129.39,19,3,6,0,6,standard,UK,UK,CA,San Francisco
ORD00000020,False,QT000000130,USR0000040,user40@example.com,ACC002545,2024-06-05,,completed,,2024-06-19,,,,,instant_quote,False,,,standard,$1k-$5k,,1-10,returning,returning,,1,1,1,1,False,0,66,1,True,True,False,False,False,On Time,,False,False,credit_card,3410.8,3789.78,3789.78,3789.78,3979.27,0,189.49,113.69,303.18,12,10,17,0,6,standard,UK,UK,CA,San Francisco
ORD00000021,False,QT000000131,USR0000040,user40@example.com,ACC002545,2024-05-07,,completed,,2024-05-27,,,,,instant_quote,False,,,standard,$1k-$5k,,1-10,returning,returning,,1,1,1,1,False,0,133,3,False,False,False,False,False,On Time,,False,False,net30,2070.81,2300.9,2300.9,2300.9,2415.94,0,115.04,69.03,184.07,29,6,12,0,8,standard,UK,UK,CA,San Francisco
ORD00000022,False,QT000000155,USR0000048,user48@example.com,ACC000216,2024-04-22,,completed,,2024-04-28,,,,,instant_quote,False,,,standard,$1k-$5k,,1-10,returning,returning,,1,1,1,1,False,0,44,7,False,False,False,True,False,On Time,,False,False,net30,2529.82,2810.91,2810.91,2810.91,2951.45,0,140.55,84.33,224.87,23,8,34,0,4,standard,AU,AU,CA,San Francisco
ORD00000023,False,QT000000159,USR0000048,user48@example.com,ACC000216,2023-04-10,,completed,,2023-04-26,,,,,instant_quote,False,,,standard,$1k-$5k,,1-10,returning,returning,,1,1,1,1,False,0,175,11,False,False,False,True,False,On Time,,False,False,credit_card,4351.75,4835.28,4835.28,4835.28,5077.05,0,241.76,145.06,386.82,9,11,11,0,5,standard,AU,AU,CA,San Francisco
ORD00000024,False,QT000000197,USR0000056,user56@example.com,ACC000598,2024-08-01,,completed,,2024-08-09,,,,,instant_quote,False,,,standard,$1k-$5k,,1-10,returning,returning,,1,1,1,1,True,0,15,4,False,False,False,True,False,On Time,,False,False,net30,163.93,182.14,182.14,182.14,191.25,0,9.11,5.46,14.57,22,7,5,0,2,standard,US,US,CA,San Francisco
ORD00000025,False,QT000000209,USR0000059,user59@example.com,ACC000185,2025-08-06,,completed,,2025-08-26,,,,,instant_quote,False,,,standard,$1k-$5k,,1-10,returning,returning,,1,1,1,1,False,0,106,7,False,False,False,True,False,Early,,False,False,net30,15093.78,16770.86,16770.86,16770.86,17609.41,0,838.54,503.13,1341.67,21,7,26,0,10,standard,IN,IN,CA,San Francisco
ORD00000026,False,QT000000212,USR0000059,user59@example.com,ACC000185,2022-10-20,,completed,,2022-11-07,,,,,instant_quote,False,,,standard,$1k-$5k,,1-10,returning,returning,,1,1,1,1,False,0,39,0,False,False,False,True,False,On Time,,False,False,credit_card,36409.86,40455.4,40455.4,40455.4,42478.17,0,2022.77,1213.66,3236.43,20,11,33,0,5,standard,IN,IN,CA,San Francisco
ORD00000027,False,QT000000213,USR0000059,user59@example.com,ACC000185,2024-06-09,,completed,,2024-06-27,,,,,instant_quote,False,,,standard,$1k-$5k,,1-10,returning,returning,,1,1,1,1,True,0,136,7,False,True,False,False,False,On Time,,False,False,credit_card,3904.44,4338.27,4338.27,4338.27,4555.18,0,216.91,130.15,347.06,10,6,49,0,10,standard,IN,IN,CA,San Francisco
ORD00000028,False,QT000000214,USR0000060,user60@example.com,ACC001220,2023-11-21,,completed,,2023-11-27,,,,,instant_quote,False,,,standard,$1k-$5k,,1-10,returning,returning,,1,1,1,1,False,0,32,2,False,False,False,True,False,On Time,,False,False,po,8135.0,9038.89,9038.89,9038.89,9490.83,0,451.94,271.17,723.11,14,5,34,0,9,standard,IN,IN,CA,San Francisco
ORD00000029,False,QT000000218,USR0000061,user61@example.com,ACC002405,2022-09-03,,completed,,2022-09-25,,,,,instant_quote,False,,,standard,$1k-$5k,,1-10,returning,returning,,1,1,1,1,False,0,146,7,False,False,True,True,False,Early,,False,False,net30,6757.06,7507.84,7507.84,7507.84,7883.23,0,375.39,225.24,600.63,10,4,25,0,6,standard,US,US,CA,San Francisco
ORD00000030,False,QT000000231,USR0000064,user64@example.com,ACC002365,2024-05-11,,completed,,2024-05-29,,,,,instant_quote,False,,,standard,$1k-$5k,,1-10,returning,returning,,1,1,1,1,False,0,169,1,False,False,False,False,False,On Time,,False,False,credit_card,25458.03,28286.7,28286.7,28286.7,29701.04,0,1414.34,848.6,2262.94,27,8,7,0,5,standard,US,US,CA,San Francisco
ORD00000031,False,QT000000232,USR0000064,user64@example.com,ACC002365,2024-08-07,,completed,,2024-08-20,,,,,instant_quote,False,,,standard,$1k-$5k,,1-10,returning,returning,,1,1,1,1,True,0,48,9,True,False,True,True,False,On Time,,False,False,credit_card,12388.2,13764.66,13764.66,13764.66,14452.89,0,688.23,412.94,1101.17,21,7,22,0,3,standard,US,US,CA,San Francisco
ORD00000032,False,QT000000236,USR0000066,user66@example.com,ACC001438,2022-09-16,,completed,,2022-09-25,,,,,instant_quote,False,,,standard,$1k-$5k,,1-10,returning,returning,,1,1,1,1,False,0,37,10,False,False,True,True,False,Early,,False,False,po,309.63,344.03,344.03,344.03,361.23,0,17.2,10.32,27.52,14,1,36,0,6,standard,CA,CA,CA,San Francisco
ORD00000033,False,QT000000244,USR0000067,user67@example.com,ACC000270,2023-10-06,,completed,,2023-10-18,,,,,instant_quote,False,,,standard,$1k-$5k,,1-10,returning,returning,,1,1,1,1,True,0,134,8,False,False,False,False,False,Late,,False,False,net30,3343.84,3715.38,3715.38,3715.38,3901.15,0,185.77,111.46,297.23,9,6,8,0,12,standard,IN,IN,CA,San Francisco
ORD00000034,False,QT000000245,USR0000068,user68@example.com,ACC003115,2022-12-14,,completed,,2022-12-24,,,,,instant_quote,False,,,standard,$1k-$5k,,1-10,returning,returning,,1,1,1,1,False,0,174,6,False,False,False,True,False,On Time,,False,False,credit_card,1990.71,2211.9,2211.9,2211.9,2322.5,0,110.6,66.36,176.95,8,1,11,0,9,standard,UK,UK,CA,San Francisco
ORD00000035,False,QT000000252,USR0000069,user69@example.com,ACC002620,2024-05-13,,completed,,2024-05-19,,,,,instant_quote,False,,,standard,$1k-$5k,,1-10,returning,returning,,1,1,1,1,True,0,88,4,False,True,False,True,False,On Time,,False,False,net30,1174.55,1305.05,1305.05,1305.05,1370.3,0,65.25,39.15,104.4,7,2,40,0,11,standard,US,US,CA,San Francisco
ORD00000036,False,QT000000263,USR0000073,user73@example.com,ACC001577,2024-12-03,,completed,,2024-12-22,,,,,instant_quote,False,,,standard,$1k-$5k,,1-10,returning,returning,,1,1,1,1,False,0,52,6,False,False,False,True,False,Early,,False,False,credit_card,13607.31,15119.23,15119.23,15119.23,15875.19,0,755.96,453.58,1209.54,10,6,49,0,3,standard,US,US,CA,San Francisco
ORD00000037,False,QT000000264,USR0000073,user73@example.com,ACC001577,2024-03-08,,completed,,2024-03-12,,,,,instant_quote,False,,,standard,$1k-$5k,,1-10,returning,returning,,1,1,1,1,False,0,20,1,False,False,False,True,False,On Time,,False,False,credit_card,10531.11,11701.23,11701.23,11701.23,12286.29,0,585.06,351.04,936.1,29,10,38,0,4,standard,US,US,CA,San Francisco
ORD00000038,False,QT000000275,USR0000075,user75@example.com,ACC003026,2025-05-27,,completed,,2025-06-15,,,,,instant_quote,False,,,standard,$1k-$5k,,1-10,returning,returning,,1,1,1,1,False,0,31,5,True,False,False,True,False,On Time,,False,False,credit_card,4109.85,4566.5,4566.5,4566.5,4794.83,0,228.33,137.0,365.32,18,4,49,0,7,standard,CA,CA,CA,San Francisco
ORD00000039,False,QT000000276,USR0000075,user75@example.com,ACC003026,2023-09-08,,completed,,2023-09-20,,,,,instant_quote,False,,,standard,$1k-$5k,,1-10,returning,returning,,1,1,1,1,False,0,62,0,True,False,False,True,False,On Time,,False,False,credit_card,4100.01,4555.56,4555.56,4555.56,4783.34,0,227.78,136.67,364.44,29,9,2,0,1,standard,CA,CA,CA,San Francisco
ORD00000040,False,QT000000278,USR0000076,user76@example.com,ACC000840,2024-04-01,,completed,,2024-04-22,,,,,instant_quote,False,,,standard,$1k-$5k,,1-10,returning,returning,,1,1,1,1,False,0,118,6,False,False,False,True,False,Early,,False,False,net30,2066.72,2296.35,2296.35,2296.35,2411.17,0,114.82,68.89,183.71,5,1,37,0,9,standard,US,US,CA,San Francisco
ORD00000041,False,QT000000280,USR0000079,user79@example.com,ACC002783,2023-08-27,,completed,,2023-09-18,,,,,instant_quote,False,,,standard,$1k-$5k,,1-10,returning,returning,,1,1,1,1,False,0,125,0,False,True,False,True,False,On Time,,False,False,credit_card,2362.16,2624.62,2624.62,2624.62,2755.86,0,131.23,78.74,209.97,9,8,30,0,6,standard,US,US,CA,San Francisco
ORD00000042,False,QT000000281,USR0000079,user79@example.com,ACC002783,2023-11-21,,completed,,2023-12-10,,,,,instant_quote,False,,,standard,$1k-$5k,,1-10,returning,returning,,1,1,1,1,False,0,127,5,False,True,False,True,False,On Time,,False,False,credit_card,1759.61,1955.12,1955.12,1955.12,2052.87,0,97.76,58.65,156.41,9,10,2,0,12,standard,US,US,CA,San Francisco
ORD00000043,False,QT000000287,USR0000080,user80@example.com,ACC001562,2023-10-29,,completed,,2023-11-17,,,,,instant_quote,False,,,standard,$1k-$5k,,1-10,returning,returning,,1,1,1,1,False,0,7,7,False,False,False,True,False,Late,,False,False,credit_card,1241.96,1379.95,1379.95,1379.95,1448.95,0,69.0,41.4,110.4,28,9,11,0,10,standard,US,US,CA,San Francisco
ORD00000044,False,QT000000294,USR0000082,user82@example.com,ACC002816,2022-09-02,,completed,,2022-09-24,,,,,instant_quote,False,,,standard,$1k-$5k,,1-10,returning,returning,,1,1,1,1,False,0,173,5,False,False,False,True,False,On Time,,False,False,net30,740.19,822.43,822.43,822.43,863.56,0,41.12,24.67,65.79,12,11,17,0,7,standard,UK,UK,CA,San Francisco
ORD00000045,False,QT000000295,USR0000082,user82@example.com,ACC002816,2022-06-13,,completed,,2022-07-08,,,,,instant_quote,False,,,standard,$1k-$5k,,1-10,returning,returning,,1,1,1,1,False,0,75,4,False,False,False,True,False,Early,,False,False,credit_card,3626.35,4029.27,4029.27,4029.27,4230.74,0,201.46,120.88,322.34,29,6,41,0,13,standard,UK,UK,CA,San Francisco
ORD00000046,False,QT000000306,USR0000085,user85@example.com,ACC002836,2023-01-21,,completed,,2023-01-28,,,,,instant_quote,False,,,standard,$1k-$5k,,1-10,returning,returning,,1,1,1,1,True,0,31,3,True,False,False,True,False,Late,,False,False,credit_card,854.83,949.81,949.81,949.81,997.3,0,47.49,28.49,75.98,8,3,37,0,8,standard,US,US,CA,San Francisco
ORD00000047,False,QT000000309,USR0000087,user87@example.com,ACC003096,2023-08-10,,completed,,2023-08-25,,,,,instant_quote,False,,,standard,$1k-$5k,,1-10,returning,returning,,1,1,1,1,False,0,160,8,False,False,False,True,False,On Time,,False,False,net30,6932.82,7703.14,7703.14,7703.14,8088.29,0,385.16,231.09,616.25,5,5,30,0,9,standard,US,US,CA,San Francisco
ORD00000048,False,QT000000315,USR0000089,user89@example.com,ACC000411,2023-11-04,,completed,,2023-11-26,,,,,instant_quote,False,,,standard,$1k-$5k,,1-10,returning,returning,,1,1,1,1,False,0,56,8,False,False,False,True,False,On Time,,False,False,credit_card,15150.02,16833.35,16833.35,16833.35,17675.02,0,841.67,505.0,1346.67,25,1,49,0,3,standard,US,US,CA,San Francisco
ORD00000049,False,QT000000321,USR0000090,user90@example.com,ACC000354,2023-06-03,,completed,,2023-06-20,,,,,instant_quote,False,,,standard,$1k-$5k,,1-10,returning,returning,,1,1,1,1,False,0,128,4,False,True,False,False,False,On Time,,False,False,credit_card,2237.01,2485.57,2485.57,2485.57,2609.85,0,124.28,74.57,198.85,16,3,23,0,12,standard,UK,UK,CA,San Francisco
ORD00000050,False,QT000000330,USR0000093,user93@example.com,ACC002514,2023-12-31,,completed,,2024-01-20,,,,,instant_quote,False,,,standard,$1k-$5k,,1-10,returning,returning,,1,1,1,1,False,0,41,11,True,True,False,True,False,On Time,,False,False,credit_card,5189.87,5766.52,5766.52,5766.52,6054.85,0,288.33,173.0,461.32,6,4,15,0,11,standard,UK,UK,CA,San Francisco
ORD00000051,False,QT000000331,USR0000093,user93@example.com,ACC002514,2024-08-07,,completed,,2024-08-14,,,,,instant_quote,False,,,standard,$1k-$5k,,1-10,returning,returning,,1,1,1,1,False,0,150,2,False,False,False,True,False,On Time,,False,False,net30,4562.79,5069.77,5069.77,5069.77,5323.25,0,253.49,152.09,405.58,28,11,26,0,9,standard,UK,UK,CA,San Francisco
ORD00000052,False,QT000000334,USR0000093,user93@example.com,ACC002514,2024-01-25,,completed,,2024-02-17,,,,,instant_quote,False,,,standard,$1k-$5k,,1-10,returning,returning,,1,1,1,1,True,0,41,3,False,False,False,True,False,On Time,,False,False,credit_card,4386.99,4874.44,4874.44,4874.44,5118.16,0,243.72,146.23,389.95,28,10,29,0,7,standard,UK,UK,CA,San Francisco
ORD00000053,False,QT000000343,USR0000095,user95@example.com,ACC002013,2024-06-28,,completed,,2024-07-14,,,,,instant_quote,False,,,standard,$1k-$5k,,1-10,returning,returning,,1,1,1,1,False,0,105,3,False,False,False,False,False,On Time,,False,False,credit_card,2245.98,2495.53,2495.53,2495.53,2620.31,0,124.78,74.87,199.64,28,3,2,0,6,standard,US,US,CA,San Francisco
ORD00000054,False,QT000000359,USR0000100,user100@example.com,ACC002552,2023-06-15,,completed,,2023-07-06,,,,,instant_quote,False,,,standard,$1k-$5k,,1-10,returning,returning,,1,1,1,1,True,0,34,10,True,False,False,False,False,On Time,,False,False,credit_card,1835.88,2039.87,2039.87,2039.87,2141.86,0,101.99,61.2,163.19,13,2,11,0,7,standard,UK,UK,CA,San Francisco
ORD00000055,False,QT000000362,USR0000101,user101@example.com,ACC000638,2023-12-04,,completed,,2023-12-18,,,,,instant_quote,False,,,standard,$1k-$5k,,1-10,returning,returning,,1,1,1,1,False,0,58,1,True,False,False,True,False,Late,,False,False,credit_card,6708.86,7454.29,7454.29,7454.29,7827.01,0,372.71,223.63,596.34,26,7,37,0,12,standard,US,US,CA,San Francisco
ORD00000056,False,QT000000363,USR0000101,user101@example.com,ACC000638,2024-01-13,,completed,,2024-01-22,,,,,instant_quote,False,,,standard,$1k-$5k,,1-10,returning,returning,,1,1,1,1,False,0,173,11,True,False,True,True,False,On Time,,False,False,credit_card,8612.67,9569.64,9569.64,9569.64,10048.12,0,478.48,287.09,765.57,17,9,39,0,12,standard,US,US,CA,San Francisco
ORD00000057,False,QT000000368,USR0000102,user102@example.com,ACC002926,2022-08-28,,completed,,2022-09-06,,,,,instant_quote,False,,,standard,$1k-$5k,,1-10,returning,returning,,1,1,1,1,False,0,22,5,True,False,False,True,False,Early,,False,False,credit_card,12078.1,13420.11,13420.11,13420.11,14091.11,0,671.01,402.6,1073.61,11,10,9,0,10,standard,US,US,CA,San Francisco
ORD00000058,False,QT000000373,USR0000104,user104@example.com,ACC002637,2022-08-27,,completed,,2022-09-13,,,,,instant_quote,False,,,standard,$1k-$5k,,1-10,returning,returning,,1,1,1,1,False,0,117,11,False,False,False,True,False,Early,,False,False,credit_card,3586.3,3984.78,3984.78,3984.78,4184.02,0,199.24,119.54,318.78,14,9,9,0,1,standard,CA,CA,CA,San Francisco
ORD00000059,False,QT000000376,USR0000104,user104@example.com,ACC002637,2025-05-07,,completed,,2025-05-26,,,,,instant_quote,False,,,standard,$1k-$5k,,1-10,returning,returning,,1,1,1,1,False,0,100,2,True,True,False,False,False,On Time,,False,False,po,991.21,1101.34,1101.34,1101.34,1156.41,0,55.07,33.04,88.11,23,11,4,0,9,standard,CA,CA,CA,San Francisco
ORD00000060,False,QT000000378,USR0000104,user104@example.com,ACC002637,2023-12-29,,completed,,2024-01-21,,,,,instant_quote,False,,,standard,$1k-$5k,,1-10,returning,returning,,1,1,1,1,False,0,137,10,True,False,False,True,False,On Time,,False,False,net30,1202.68,1336.31,1336.31,1336.31,1403.13,0,66.82,40.09,106.9,15,4,12,0,10,standard,CA,CA,CA,San Francisco
ORD00000061,False,QT000000379,USR0000106,user106@example.com,ACC001887,2024-09-04,,completed,,2024-09-26,,,,,instant_quote,False,,,standard,$1k-$5k,,1-10,returning,returning,,1,1,1,1,False,0,1,11,False,False,False,True,False,On Time,,False,False,net30,3433.34,3814.82,3814.82,3814.82,4005.56,0,190.74,114.44,305.19,5,6,20,0,2,standard,US,US,CA,San Francisco
ORD00000062,False,QT000000381,USR0000106,user106@example.com,ACC001887,2024-11-25,,completed,,2024-12-13,,,,,instant_quote,False,,,standard,$1k-$5k,,1-10,returning,returning,,1,1,1,1,False,0,103,10,False,False,False,False,False,On Time,,False,False,credit_card,3633.72,4037.47,4037.47,4037.47,4239.35,0,201.87,121.12,323.0,19,9,39,0,5,standard,US,US,CA,San Francisco
ORD00000063,False,QT000000383,USR0000107,user107@example.com,ACC000505,2022-08-18,,completed,,2022-09-10,,,,,instant_quote,False,,,standard,$1k-$5k,,1-10,returning,returning,,1,1,1,1,False,0,121,8,False,True,True,False,False,On Time,,False,False,credit_card,16038.55,17820.61,17820.61,17820.61,18711.64,0,891.03,534.62,1425.65,22,3,11,0,11,standard,US,US,CA,San Francisco
ORD00000064,False,QT000000384,USR0000107,user107@example.com,ACC000505,2023-09-20,,completed,,2023-09-28,,,,,instant_quote,False,,,standard,$1k-$5k,,1-10,returning,returning,,1,1,1,1,True,0,132,3,False,False,False,True,False,On Time,,False,False,credit_card,8980.56,9978.4,9978.4,9978.4,10477.31,0,498.92,299.35,798.27,29,3,16,0,5,standard,US,US,CA,San Francisco
ORD00000065,False,QT000000386,USR0000108,user108@example.com,ACC001058,2022-09-19,,completed,,2022-09-28,,,,,instant_quote,False,,,standard,$1k-$5k,,1-10,returning,returning,,1,1,1,1,False,0,114,3,False,False,True,True,False,Late,,False,False,po,1094.94,1216.6,1216.6,1216.6,1277.43,0,60.83,36.5,97.33,11,10,30,0,13,standard,US,US,CA,San Francisco
ORD00000066,False,QT000000387,USR0000108,user108@example.com,ACC001058,2025-05-26,,completed,,2025-06-13,,,,,instant_quote,False,,,standard,$1k-$5k,,1-10,returning,returning,,1,1,1,1,False,0,20,8,False,False,False,True,False,Early,,False,False,net30,1351.1,1501.22,1501.22,1501.22,1576.28,0,75.06,45.04,120.1,10,2,28,0,6,standard,US,US,CA,San Francisco
